,ingrediente,qtde,ENERGIA (kcal),PROTEÍNA (g),LIPÍDEOS (g),CARBOIDRATO (g),FIBRA ALIMENTAR (g),CÁLCIO (mg),FÓSFORO (mg),FERRO (mg),SÓDIO (mg),POTÁSSIO (mg),"VIT, C (mg)",FONTE
189,"Batata, inglesa sauté",100.0,0.0,0.0,0.896333333333333,0.0,0.0,0.0,0.0,0.25,196.0,0.0,0.0,"Batata, inglesa, sauté/TACO com sódio TBCA (Batata, inglesa, sauté, c/ sal)"
191,Berinjela cozida,25.0,0.0,0.677083333333333,0.148333333333333,0.0,0.0,0.0,0.0,0.220333333333333,1325.0,105.48,0.0,Berinjela cozida TACO
196,Beterraba cozida,30.0,0.0,0.0,0.0926666666666666,0.0,0.0,0.0,0.0,0.238666666666666,139.0,0.0,1.24,"Beterraba, cozida/TACO com sódio TBCA (Beterraba, refogada, c/ sal)"
202,Beterraba ralada,50.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.32,9.72,0.0,0.0,"Beterraba, crua/TACO"
204,Biscoito sal cream cracker 6 unidades,35.0,0.0,0.0,0.0,0.0,2.51,0.0,148.26,2.2,0.0,0.0,0.0,"Biscoito, salgado, cream cracker/TACO"
206,Bolinho de arroz,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bolinho de arroz/TACO
208,Bolinho de Arroz ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bolinho de arroz/TACO
210,Brócolis,50.0,0.0,0.0,0.459,0.0,0.0,0.0,0.0,0.535,0.0,0.0,0.0,Brócolis cozido TACO
211,Brócolis cozido,50.0,0.0,0.0,0.459,0.0,0.0,0.0,0.0,0.535,131.0,0.0,0.0,"Brócolis, cozido/TACO com sódio TBCO (Brócolis, flor, cozido, c/ sal, drenado)"
214,Brócolis refogado ,100.0,60.74,2.38,3.32,7.18,3.3,40.0,67.0,0.67,2.0,293.0,64.9,Brócolis refogado DIETBOX/IBGE com sódio Brocolis/cozido/TACO
215,Cação em posta,50.0,0.0,0.0,0.0,0.0,0.536666666666666,0.0,0.0,0.998333333333333,0.0,0.0,0.0,"Cação, posta, com farinha de trigo, frita/TACO"
219,Cação em posta cozida,50.0,0.0,0.0,0.747999999999999,0.0,0.0,0.0,0.0,0.317,0.0,248.64,0.0,"Cação, posta, cozida/TACO"
225,Cação em posta desfiado,120.0,0.0,0.0,0.747999999999999,0.0,0.0,0.0,0.0,0.317,0.0,248.64,0.0,"Cação, posta, cozida/TACO"
227,Café ,60.0,0.0,0.7125,0.0693333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,café infusão 10% TACO
231,Café  ,60.0,0.0,0.7125,0.0693333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Café infusão 10% TACO
236,Canjiquinha,20.0,31.44,0.95,0.12,7.01,0.71,8.56,15.76,0.28,310.43,88.32,2.1,Canjiquinha de milho em grão Sopa DIETBOX/IBGE
240,Carne (patinho),50.0,248.57,36.12,10.61,0.0,0.0,4.0,226.0,3.32,384.0,334.0,0.0,"Patinho ensopado DIETBOX/IBGE com sódio TBCA Carne, boi, acém, moída, refogada c/ óleo e temperos, c/ sal, Bos taurus"
243,Carne assada (lagarto),120.0,199.0,36.12,0.0,5.0,0.0,4.0,226.0,3.32,384.0,334.0,0.0,"Lagarto bovino assado DIETBOX/IBGE com sódio TCBA (Carne, boi, acém, moída, refogada c/ óleo e temperos, c/ sal)"
244,Carne moída,35.0,214.0,26.62,11.1,0.0,0.0,13.0,193.0,2.89,61.0,300.0,0.0,"Carne moída cozida DIETBOX/IBGE  com sódio TBCA Carne, boi, acém, moída, refogada c/ óleo e temperos, c/ sal, Bos taurus"
250,Carne Moída,60.0,214.0,26.62,11.1,0.0,0.0,13.0,193.0,2.89,384.0,300.0,0.0,"Carne moída DIETBOX/IBGE  com sódio TBCA Carne, boi, acém, moída, refogada c/ óleo e temperos, c/ sal, Bos taurus"
261,Carne moída refogada,120.0,236.6,26.62,13.6,0.0,0.0,13.0,193.0,2.89,384.0,300.0,0.0,"Carne moída refogada DIETBOX/IBGE  com sódio TBCA Carne, boi, acém, moída, refogada c/ óleo e temperos, c/ sal, Bos taurus"
262,Carne moída refogada (Patinho Moído),50.0,236.6,26.62,13.6,0.0,0.0,13.0,193.0,2.89,384.0,300.0,0.0,"Carne moída refogada DIETBOX/IBGE  com sódio TBCA Carne, boi, acém, moída, refogada c/ óleo e temperos, c/ sal, Bos taurus"
265,Carne suína,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457333333333333,384.0,0.0,0.0,"Porco, lombo, assado/TACO com sódio TCBA (Carne, boi, acém, moída, refogada c/ óleo e temperos, c/ sal)"
266,"Carne, bovina, capa de contra-filé, sem gordura, grelhada",50.0,0.0,0.0,9.95,0.0,0.0,0.0,0.0,2.84,384.0,0.0,0.0,"Carne, bovina, capa de contra-filé, sem gordura, grelhada com sódio TCBA (Carne, boi, acém, moída, refogada c/ óleo e temperos, c/ sal)"
269,"Carne, bovina, patinho, sem gordura, grelhado",50.0,0.0,35.9,0.0,0.0,0.0,0.0,0.0,0.0,384.0,420.96,0.0,"Carne, bovina, patinho, sem gordura, grelhado/TACO com sódio TCBA (Carne, boi, acém, moída, refogada c/ óleo e temperos, c/ sal)"
274,Cebola,5.0,0.0,0.0,0.08,0.0,0.0,14.0,0.0,0.203333333333333,0.596666666666666,0.0,0.0,Cebola crua TACO
282,Cebola branca crua,5.0,0.0,0.0,0.08,0.0,0.0,14.0,0.0,0.203333333333333,0.596666666666666,0.0,0.0,"Cebola, crua/TACO"
283,Cebolinha crua,5.0,0.0,0.0,0.35,0.0,3.55,0.0,26.89,0.646666666666666,0.0,0.0,31.78,"Cebolinha, crua/TACO"
284,Cebolinha verde,5.0,0.0,0.0,0.35,0.0,3.55,0.0,26.89,0.646666666666666,0.0,0.0,31.78,"Cebolinha, crua/TACO"
288,Cenoura,25.0,0.0,0.847916666666666,0.218333333333333,0.0,0.0,0.0,0.0,0.0936666666666666,0.0,0.0,0.0,"Cenoura, cozida/TACO"
289,Cenoura cozida,5.0,0.0,0.847916666666666,0.218333333333333,0.0,0.0,0.0,0.0,0.0936666666666666,133.0,0.0,0.0,"Cenoura, cozida/TACO e sódio TBCA ( Cenoura, s/ casca, cozida, drenada, c/ óleo de soja, c/ sal)"
320,Cenoura crua,50.0,0.0,0.0,0.173333333333333,7.66,0.0,22.54,27.85,0.183333333333333,0.0,0.0,0.0,"Cenoura, crua/TACO"
322,Cenoura crua ralada ,100.0,0.0,0.847916666666666,0.218333333333333,0.0,0.0,0.0,0.0,0.0936666666666666,0.0,0.0,0.0,"Cenoura, cozida/TACO"
323,Cenoura ralada,25.0,0.0,0.0,0.173333333333333,7.66,0.0,22.54,27.85,0.183333333333333,0.0,0.0,0.0,Cenoura crua TACO
324,"Chá de camomila, ebulição",160.0,1.0,0.0,0.0,0.2,0.0,2.0,0.0,0.08,1.0,9.0,0.0,"Chá, erva, camomila, ebulição DIETBOX/USDA"
325,Chá de erva doce,160.0,0.0,0.0,0.0,0.391333333333321,0.0,0.0,0.651,0.0,0.625333333333333,9929.0,0.0,"Chá, erva-doce, infusão 5%"
326,"Chá, erva-doce, infusão 5%",160.0,0.0,0.0,0.0,0.391333333333321,0.0,0.0,0.651,0.0,0.625333333333333,9929.0,0.0,"Chá, erva-doce, infusão 5%"
327,"Chá, mate, infusão 5%",160.0,0.0,0.0,0.052,0.642999999999993,0.0,0.644666666666666,0.0,0.0,0.0,0.0,0.0,"Chá, mate, infusão 5%/TACO"
328,Chuchu,25.0,0.0,0.414583333333333,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,Chuchu cozido TACO
